Strategy,SR_gross,SR_net,TR_gross,TR_net,MDD_net,avg_position,avg_daily_turnover
XGB_ds5_fsY_huber_vanilla,0.8392490306378653,0.6811685729737113,0.10312191748944421,0.08046047435558212,-0.14585047992943,1.0065661895755866,0.11164122610542467
LSTM_ds5_fsY_huber_vanilla,0.7511222711338926,0.6764116599646047,0.0823287118408953,0.07279743251043347,-0.1434190793246617,1.0095928711800115,0.04751161380509575
XGB_ds2_fsN_huber_vanilla,0.8341854810674085,0.6732582429329171,0.09055788947165722,0.07058809338553917,-0.13577685132197592,1.0032367587390434,0.0999295090607236
XGB_ds4_fsN_huber_vanilla,0.8075803157808058,0.6708184350866878,0.09356351785320727,0.07509220750559709,-0.14367226081516937,1.0012283461166211,0.09206250760501891
REG_ds5_fsY_mse_vanilla,0.7835530137542329,0.6694901849175755,0.08684151640619087,0.07224584956712454,-0.1394416433154808,0.9942064389505059,0.0733608320289988
REG_ds2_fsN_mse_vanilla,0.8706598957613981,0.6649930805300758,0.09946104248945775,0.0725354692205733,-0.13853461701201952,1.0065181472386666,0.13432339671138493
XGB_ds3_fsY_huber_vanilla,0.822606629670607,0.6643637335032603,0.09657075042909624,0.07501954605046457,-0.14511494867460217,1.00892899569682,0.10693265311875075
LSTM_ds1_fsN_mse_vanilla,0.7869171953390052,0.6602356216637307,0.08608739867689974,0.07007441675652837,-0.1382448330190993,1.0052489321552673,0.0802404465706535
LSTM_ds2_fsN_mse_vanilla,0.767637947022183,0.6584380178079061,0.08399006783151108,0.07015430368276343,-0.1439249531257062,1.0075404902645184,0.06914847374891675
LSTM_ds1_fsY_mse_vanilla,0.7545702908591244,0.6569933622039871,0.08246844405963016,0.07007210992099133,-0.1413920095178095,0.9983419790024893,0.06248075798958274
REG_ds2_fsN_huber_vanilla,0.8563029811737891,0.6533285762223737,0.09779140177779388,0.07118687433448101,-0.13942519862157743,1.0070941685834034,0.1329030952897912
LSTM_ds2_fsN_huber_vanilla,0.7384210327415254,0.647784129418555,0.08167984201877743,0.07001039988185553,-0.1387443133592693,1.0138783015947217,0.05798194642669737
XGB_ds3_fsN_huber_vanilla,0.8043361796712223,0.6445934499749202,0.09475985832690426,0.07286011871298936,-0.14544504651037116,1.0050699607327778,0.10886362806555046
LSTM_ds1_fsY_huber_vanilla,0.7400774955002825,0.6420411356620624,0.07909861082877767,0.06694920921903669,-0.14009363753658854,1.0103220908252306,0.06083797738603304
LSTM_ds2_fsY_mse_vanilla,0.7153634637269863,0.6310943450766867,0.07846227554414176,0.06766323035379784,-0.14681942127870706,1.0102529049300402,0.05391221985330285
XGB_ds4_fsY_huber_vanilla,0.7938046521093926,0.6298165353689642,0.08861033059795131,0.06744269855094154,-0.14935001459317243,1.0012660962648232,0.10593236468854522
XGB_ds5_fsN_huber_vanilla,0.764947895283918,0.6295697179053459,0.0909907609689089,0.07203772167020861,-0.14879797490037905,1.0083787581667076,0.09423071675436615
REG_ds5_fsY_huber_vanilla,0.7638951420643829,0.6126844724003236,0.08216294565020466,0.06340661545003634,-0.13642074691442152,1.0052607207215267,0.09462033198571179
XGB_ds5_fsY_mse_vanilla,0.7900895473226908,0.6041892015446414,0.09282507736741441,0.0673908457316954,-0.13886009654037312,1.0139102725648583,0.12689908525945692
REG_ds3_fsY_huber_vanilla,0.7370409795640417,0.5989645357072272,0.08024214152189169,0.06276465905848205,-0.13798103689653374,1.003787159688463,0.08839814352551631
LSTM_ds4_fsN_huber_vanilla,0.7195734342131952,0.5959264024999771,0.07885545697670748,0.06307982783172505,-0.14757638039216958,1.009700924817614,0.07946033391855517
LSTM_ds4_fsY_mse_vanilla,0.6666564007322499,0.5824752302462308,0.07106702110211804,0.060533311408737855,-0.14592214260158232,1.0007206926818912,0.053490696986607585
LSTM_ds5_fsN_mse_vanilla,0.7091921419130499,0.5786476987297386,0.07750681165546403,0.06086596031845648,-0.14674610988665904,1.0054148653916017,0.08387514785793766
LSTM_ds4_fsN_mse_vanilla,0.7071860942514289,0.575697873550797,0.07758923174696464,0.06071911217207093,-0.13734778557799376,1.0136198381492623,0.08488285125253038
LSTM_ds1_fsN_huber_vanilla,0.6798352484493572,0.5725172724681605,0.07317384085608714,0.05965182990913287,-0.14315334327914364,1.002339587585716,0.06850451578348633
XGB_ds1_fsY_huber_kelly,1.7960800080678672,0.5718330634833743,0.24772861256231504,0.06465270471938411,-0.08602755328841794,1.0114897166990686,0.8429298568500482
LSTM_ds5_fsN_huber_vanilla,0.6758738162980811,0.5624284227895193,0.07533892930019515,0.06040398807282954,-0.1517420398650402,1.0158236256642308,0.07490449912833116
